iterations,learning_rate,depth,l2_leaf_reg,recall,roc_auc,balance_score
150,0.1,5,3,0.9882426516572858,0.8039063013152552,0.8960744764862705
175,0.07,5,5,0.9883677298311445,0.8037497187526205,0.8960587242918825
150,0.07,5,3,0.9883677298311445,0.8037244271563178,0.8960460784937312
200,0.07,6,5,0.9881175734834271,0.8039294332126199,0.8960235033480235
200,0.05,6,5,0.9881175734834271,0.8038366495612951,0.8959771115223611
175,0.05,5,5,0.9883677298311445,0.8035604275788346,0.8959640787049896
175,0.1,4,4,0.9882426516572858,0.8036820584283721,0.895962355042829
150,0.1,5,4,0.9881175734834271,0.8037380394051117,0.8959278064442694
175,0.05,4,5,0.9887429643527205,0.8030479278017914,0.8958954460772559
150,0.07,4,5,0.9883677298311445,0.8033732858615119,0.8958705078463283
200,0.1,6,5,0.9879924953095685,0.803728572432125,0.8958605338708467
150,0.05,6,3,0.9879924953095685,0.803653819925795,0.8958231576176817
200,0.05,6,4,0.9878674171357098,0.8037609459680344,0.8958141815518721
150,0.07,5,4,0.9878674171357098,0.8036781062963725,0.8957727617160411
150,0.07,5,5,0.9878674171357098,0.80367352937342,0.8957704732545648
175,0.05,5,4,0.9879924953095685,0.8035476449704864,0.8957700701400274
200,0.1,6,4,0.9877423389618512,0.8037928176226867,0.8957675782922689
200,0.05,5,5,0.9874921826141339,0.8036807078849306,0.8955864452495322
200,0.07,4,3,0.9869918699186991,0.8037197112283523,0.8953557905735257
150,0.05,4,4,0.9878674171357098,0.8028403786853576,0.8953538979105338
150,0.05,4,5,0.9878674171357098,0.8028290973311492,0.8953482572334295
150,0.05,4,3,0.9876172607879925,0.8028472952821596,0.8952322780350761
